Hello,Hey!
What is my name?,Soumyansh Gupta and you are awesome !!
what is my name,Soumyansh Gupta and you are awesome !!
you are nice,"Thanks, you seem nice too."
exit,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=exit'>exit</a>
Hello,Hey!
Hello,It's nice to see you!
Hello,Hello to you!
Hello,It's nice to see you!
Hello,Hey!
hi,Hello there!
Hello,It's nice to see you!
Hello,Hey!
Hello,Hello to you!
Hello,Hey!
Hello,Hi there!
Hello,Hey!
Hello,Hi there!
Hello,Hey!
Hello,Hey!
Hello,It's nice to see you!
Hello,Hello to you!
Hello,It's nice to see you!
Hello,Hi there!
Hello,Hey!
hi,Hello there!
Hello,Hi there!
Hello,Hey!
Hello,Hello to you!
Hello,Hey!
Hello,Hello to you!
Hello,It's nice to see you!
Hello,Hi there!
Hello,Hey!
Hello,Hello to you!
Hello,Hey!
hi,Hello there!
coffe/,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=coffe/'>coffe/</a>
what is the price of a coffee?,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=what is the price of a coffee?'>what is the price of a coffee?</a>
what time it is?,The time is now 11:54 AM EST
Hello,Hi there!
What is the time now?,"Today is Thursday, 5/16/2019"
time?,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=time?'>time?</a>
Hello,Hi there!
i love you,I like you too.
Hello,Hi there!
Do you love me?,The time is now 0:07 AM EST
Hello,Hello to you!
do you love me?,Yes I do more than you can think of !!
Hello,Hey!
what is my name,Soumyansh Gupta and you are awesome !!
do you love me?,Yes I do more than you can think of !!
i love you?,I love you 3000
Hello,It's nice to see you!
surbhi,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=surbhi'>surbhi</a>
who is surbhi guupta,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=who is surbhi guupta'>who is surbhi guupta</a>
who is soumyansh,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=who is soumyansh'>who is soumyansh</a>
What time is it?,The time is now 11:44 AM EST
Hello,Hi there!
What is my name?,Soumyansh Gupta and you are awesome !!
how is qweather?,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=how is qweather?'>how is qweather?</a>
Hello,Hello to you!
who is avinash,Avinash is a coder
Hello,Hi there!
Hello,It's nice to see you!
Hi,Hello there!
time,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=time'>time</a>
what is the time?,"Today is Sunday, 5/19/2019"
What time is it?,The time is now 2:33 PM EST
Hello,Hi there!
Who is Anu?,Anu is love !!
